id,submitdate,lastpage,datestamp,name,value
2,NA,1,2023-03-21T14:27:38Z,G09Q00,NA
2,NA,1,2023-03-21T14:27:38Z,G09Q01,NA
2,NA,1,2023-03-21T14:27:38Z,G09Q02,NA
2,NA,1,2023-03-21T14:27:38Z,G09Q03[SQ001],NA
2,NA,1,2023-03-21T14:27:38Z,G09Q03[SQ002],NA
2,NA,1,2023-03-21T14:27:38Z,G09Q03[SQ003],NA
2,NA,1,2023-03-21T14:27:38Z,G09Q04,NA
2,NA,1,2023-03-21T14:27:38Z,G10Q00,NA
2,NA,1,2023-03-21T14:27:38Z,G10Q01,NA
2,NA,1,2023-03-21T14:27:38Z,G10Q02,NA
2,NA,1,2023-03-21T14:27:38Z,G10Q03[SQ001],NA
2,NA,1,2023-03-21T14:27:38Z,G10Q03[SQ002],NA
2,NA,1,2023-03-21T14:27:38Z,G10Q03[SQ003],NA
2,NA,1,2023-03-21T14:27:38Z,G10Q04,NA
2,NA,1,2023-03-21T14:27:38Z,G12Q01,NA
3,NA,NA,2023-03-21T14:58:34Z,G09Q00,NA
3,NA,NA,2023-03-21T14:58:34Z,G09Q01,NA
3,NA,NA,2023-03-21T14:58:34Z,G09Q02,NA
3,NA,NA,2023-03-21T14:58:34Z,G09Q03[SQ001],NA
3,NA,NA,2023-03-21T14:58:34Z,G09Q03[SQ002],NA
3,NA,NA,2023-03-21T14:58:34Z,G09Q03[SQ003],NA
3,NA,NA,2023-03-21T14:58:34Z,G09Q04,NA
3,NA,NA,2023-03-21T14:58:34Z,G10Q00,NA
3,NA,NA,2023-03-21T14:58:34Z,G10Q01,NA
3,NA,NA,2023-03-21T14:58:34Z,G10Q02,NA
3,NA,NA,2023-03-21T14:58:34Z,G10Q03[SQ001],NA
3,NA,NA,2023-03-21T14:58:34Z,G10Q03[SQ002],NA
3,NA,NA,2023-03-21T14:58:34Z,G10Q03[SQ003],NA
3,NA,NA,2023-03-21T14:58:34Z,G10Q04,NA
3,NA,NA,2023-03-21T14:58:34Z,G12Q01,NA
4,2023-03-21T15:08:31Z,4,2023-03-21T15:08:31Z,G09Q00,Option 2 -
4,2023-03-21T15:08:31Z,4,2023-03-21T15:08:31Z,G09Q01,Option 2
4,2023-03-21T15:08:31Z,4,2023-03-21T15:08:31Z,G09Q02,Data  for Trametinib in HRAS mutant cancer are not backed by clinical evidence
4,2023-03-21T15:08:31Z,4,2023-03-21T15:08:31Z,G09Q03[SQ001],10 (extremely likely)
4,2023-03-21T15:08:31Z,4,2023-03-21T15:08:31Z,G09Q03[SQ002],1
4,2023-03-21T15:08:31Z,4,2023-03-21T15:08:31Z,G09Q03[SQ003],10 (extremely likely)
4,2023-03-21T15:08:31Z,4,2023-03-21T15:08:31Z,G09Q04,NA
4,2023-03-21T15:08:31Z,4,2023-03-21T15:08:31Z,G10Q00,"Afatinib,dacomitinib, osimertinib"
4,2023-03-21T15:08:31Z,4,2023-03-21T15:08:31Z,G10Q01,Option 2
4,2023-03-21T15:08:31Z,4,2023-03-21T15:08:31Z,G10Q02,first generation EGFR TKI  such as Erlotinib are not an option within current treatment standards
4,2023-03-21T15:08:31Z,4,2023-03-21T15:08:31Z,G10Q03[SQ001],8
4,2023-03-21T15:08:31Z,4,2023-03-21T15:08:31Z,G10Q03[SQ002],1
4,2023-03-21T15:08:31Z,4,2023-03-21T15:08:31Z,G10Q03[SQ003],1
4,2023-03-21T15:08:31Z,4,2023-03-21T15:08:31Z,G10Q04,no
4,2023-03-21T15:08:31Z,4,2023-03-21T15:08:31Z,G12Q01,NA
5,NA,NA,2023-03-21T15:23:13Z,G09Q00,NA
5,NA,NA,2023-03-21T15:23:13Z,G09Q01,NA
5,NA,NA,2023-03-21T15:23:13Z,G09Q02,NA
5,NA,NA,2023-03-21T15:23:13Z,G09Q03[SQ001],NA
5,NA,NA,2023-03-21T15:23:13Z,G09Q03[SQ002],NA
5,NA,NA,2023-03-21T15:23:13Z,G09Q03[SQ003],NA
5,NA,NA,2023-03-21T15:23:13Z,G09Q04,NA
5,NA,NA,2023-03-21T15:23:13Z,G10Q00,NA
5,NA,NA,2023-03-21T15:23:13Z,G10Q01,NA
